@RELATION 'cellcycle0.names'

@ATTRIBUTE cln3-1 numeric
@ATTRIBUTE cln3-2 numeric
@ATTRIBUTE clb2-2 numeric
@ATTRIBUTE clb2-1 numeric
@ATTRIBUTE alpha0 numeric
@ATTRIBUTE alpha7 numeric
@ATTRIBUTE alpha14 numeric
@ATTRIBUTE alpha21 numeric
@ATTRIBUTE alpha28 numeric
@ATTRIBUTE alpha35 numeric
@ATTRIBUTE alpha42 numeric
@ATTRIBUTE alpha49 numeric
@ATTRIBUTE alpha56 numeric
@ATTRIBUTE alpha63 numeric
@ATTRIBUTE alpha70 numeric
@ATTRIBUTE alpha77 numeric
@ATTRIBUTE alpha84 numeric
@ATTRIBUTE alpha91 numeric
@ATTRIBUTE alpha98 numeric
@ATTRIBUTE alpha105 numeric
@ATTRIBUTE alpha112 numeric
@ATTRIBUTE alpha119 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_80 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_100 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_120 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_140 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_160 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_180 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_200 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_220 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_240 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE cdc28_0 numeric
@ATTRIBUTE cdc28_10 numeric
@ATTRIBUTE cdc28_20 numeric
@ATTRIBUTE cdc28_30 numeric
@ATTRIBUTE cdc28_40 numeric
@ATTRIBUTE cdc28_50 numeric
@ATTRIBUTE cdc28_60 numeric
@ATTRIBUTE cdc28_70 numeric
@ATTRIBUTE cdc28_80 numeric
@ATTRIBUTE cdc28_90 numeric
@ATTRIBUTE cdc28_100 numeric
@ATTRIBUTE cdc28_110 numeric
@ATTRIBUTE cdc28_120 numeric
@ATTRIBUTE cdc28_130 numeric
@ATTRIBUTE cdc28_140 numeric
@ATTRIBUTE cdc28_150 numeric
@ATTRIBUTE cdc28_160 numeric
@ATTRIBUTE elu0 numeric
@ATTRIBUTE elu30 numeric
@ATTRIBUTE elu60 numeric
@ATTRIBUTE elu90 numeric
@ATTRIBUTE elu120 numeric
@ATTRIBUTE elu150 numeric
@ATTRIBUTE elu180 numeric
@ATTRIBUTE elu210 numeric
@ATTRIBUTE elu240 numeric
@ATTRIBUTE elu270 numeric
@ATTRIBUTE elu300 numeric
@ATTRIBUTE elu330 numeric
@ATTRIBUTE elu360 numeric
@ATTRIBUTE elu390 numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
0.2,-0.42,-0.38,-0.17,0.18,0.25,0.16,0.23,0.34,0.15,0.09,-0.11,-0.11,0.01,-0.17,-0.32,0.15,-0.41,0.07,-0.39,0.19,-0.32,0.62,0.11,-0.02,0.01,0.18,0.16,0.24,0.11,0.15,-0.05,-0.36,0.14,-0.11,-0.23,-0.1,-0.21,0.3,0.08,0.1,-0.26,0.14,-0.32,-0.37,-0.32,-0.37,-0.14,0.2,0.09,0.2,0.23,0.08,0.34,0.14,-0.07,-0.16,-0.07,-0.4,?,0.07,-0.08,-0.05,-0.23,-0.17,-0.24,0.06,-0.14,-0.21,0.28,0.23,0.24,-0.12,-0.02,0.23,0.03,0.04,4/5/5/1@40/16/0/0@8/4/0/0 %  ytyjl133w
0.61,0.08,-0.23,-0.3,-0.52,?,-0.18,-0.08,-0.06,0.31,0.38,0.46,0.23,-0.16,-0.37,-0.41,0.04,-0.11,0.21,0.34,0.05,-0.13,-0.41,-0.66,-0.45,0.26,0.86,0.07,0.31,0.02,0.23,-0.98,-0.66,-0.14,0.18,0.05,0.57,-0.14,0.57,-0.34,0.69,0.48,0.72,-0.61,-0.31,-0.29,-0.2,-0.31,-1.25,0.05,0.63,0.73,0.31,0.44,0.05,-0.22,-0.33,-0.27,0.08,0.26,?,0.16,-0.13,-0.17,-0.35,0.14,-0.1,-0.66,-0.18,-0.05,0.25,0.17,0.06,0.29,0.46,0.1,0.03,1/5/1/0@2/19/0/0 %  ytyjl137c
-0.42,-0.36,-0.38,-0.51,0.3,0.05,-0.03,0.08,0.02,-0.1,0.07,0.04,0.17,-0.13,0.02,-0.15,0.14,-0.32,0.04,0.1,-0.17,-0.13,0.07,0.12,0.24,0.12,0.24,0.16,0,0.17,0.15,0.06,-0.29,-0.05,-0.26,-0.08,-0.29,0.09,-0.31,-0.05,-0.15,-0.13,-0.08,0.13,-0.07,0.21,0.3,0.48,-0.07,-0.14,-0.11,-0.32,-0.12,0.12,0.08,-0.01,0.17,-0.04,-0.13,?,-0.08,-0.05,-0.06,0.56,-0.11,0.16,0.16,-0.15,0.08,-0.11,-0.64,0.1,-0.17,0,0.06,0.05,0.03,1/5/1/0@40/8/0/0 %  ytyjl139c
-0.1,0.2,0,-0.62,0,-0.1,-0.02,0.13,0.25,-0.05,0.23,0.02,0.23,-0.22,0.2,-0.23,0.31,-0.1,0.13,0.1,-0.38,-0.5,-0.38,-0.66,-0.5,-0.23,0.13,-0.14,-0.18,0.01,0.49,0.15,0.28,0.41,-0.04,0.02,0.07,-0.21,0.28,0.07,0.41,-0.14,0.43,-0.04,-0.15,-0.08,-0.41,-0.26,0.16,0.04,-0.15,-0.45,-0.26,-0.12,0.25,0.54,-0.29,0.41,0.24,?,-0.21,0.27,0.24,-0.49,-0.56,-0.17,-0.29,-0.27,-0.24,-0.22,0.21,0.45,0.1,0.21,0.6,0.31,0.37,40/16/0/0@6/4/0/0@67/99/0/0@8/4/0/0 %  ytyjl143w
-0.34,-0.4,-0.45,0.04,0.01,0.24,0.15,-0.4,-0.14,-0.1,0.13,0.16,-0.02,0.05,0.03,-0.04,0.03,-0.14,?,-0.08,0.05,0.08,-0.58,0.29,0.11,-0.17,-0.52,0.01,0.17,0.23,-0.15,0.31,-0.22,0.13,-0.43,0.3,0.21,0.01,-0.39,-0.07,0.31,-0.26,0.25,0.11,0.38,-0.04,-0.33,-0.25,-0.49,-0.22,0.26,0.03,-0.04,-0.07,0.67,-0.02,-0.19,0.38,0.39,-0.28,0.16,?,?,0.22,-0.05,0.07,0.08,0.24,0.07,0.02,-0.05,-0.13,-0.19,0.04,-0.06,-0.29,0.04,10/1/99/0@14/4/3/5@3/3/2/0 %  ytyjl146w
-0.29,-1.4,-0.89,-0.56,0.06,0.15,0.52,-0.1,0.38,?,0.05,0.11,-0.25,-0.11,-0.11,-0.27,0.1,-0.27,-0.15,-0.08,0.05,-0.06,0.37,-0.04,-0.01,-0.28,0.09,-0.43,0.3,0.18,0.27,-0.06,0.04,?,0.01,-0.01,1.07,-0.09,?,-0.5,?,0.28,?,-0.41,-0.37,-0.41,2.32,1.47,1.9,0.54,0.39,-0.27,-2.85,-2.85,?,?,?,?,0.15,1.05,0.23,-1.53,-0.53,-0.77,1.38,-0.11,0.05,-0.38,-0.7,-0.22,0.33,0.21,-0.19,0.14,0.27,0.28,-0.28,1/5/1/0@40/3/0/0 %  ytyjl153c
0.67,-1.06,0.18,-0.69,0.73,0.09,0.54,-0.12,-0.04,?,0.21,-0.09,-0.06,-0.3,0,-0.01,-0.22,-0.47,-0.11,-0.07,?,-0.07,-0.26,-0.01,-0.05,-0.41,-0.06,-0.32,0.13,-0.01,-0.09,0.18,-0.32,-0.09,-0.26,0.01,-0.26,-0.63,0.46,-0.35,0.41,0.54,0.66,0.25,0.12,0.36,-0.11,-0.94,-0.52,-0.3,-0.05,-0.13,0.23,-0.19,0.52,0.48,-0.92,0.41,0.06,?,0.04,0.57,0.87,1.82,0.2,-0.01,-0.1,-0.39,-0.64,-0.28,-0.01,0.01,-0.7,-0.14,0.26,-0.14,0.12,1/5/1/0@1/5/4/0@40/3/0/0 %  ytyjl155c
0.08,-1.29,-0.49,-0.56,-0.09,0.18,-0.1,-0.2,-0.45,0.45,-0.18,0.12,0.05,-0.02,-0.03,0.32,0.12,0.21,-0.26,-0.05,0.02,-0.07,-0.21,0.13,-0.23,?,0.68,-0.84,?,-0.12,0.93,0.12,0.64,?,0.2,-0.99,?,-0.76,0.16,-0.3,0.72,0.54,?,-0.45,0.4,-0.63,0.4,-0.16,-0.1,-0.22,-0.44,-0.51,-0.04,-0.04,0.45,0.64,0.18,-0.22,-0.22,0.02,-0.6,0.74,0.12,0.12,-0.01,-0.31,-0.19,0.26,0.43,0.14,-0.21,-0.25,-0.15,0.28,0.12,-0.5,0.28,11/1/0/0@14/4/3/1 %  ytyjl160c
-0.12,-0.15,-0.64,-0.17,4,3.32,1.38,-0.58,-0.68,-0.57,-0.42,-0.79,-0.6,-0.39,-0.53,-0.49,-0.58,-0.95,-0.58,-0.66,-0.42,-0.44,-0.27,0.11,0.23,-0.56,0.51,-0.52,0.24,0.34,0.41,-0.15,-0.01,0.35,0.02,-0.2,0.31,-0.54,?,-0.9,?,0.13,0.87,-0.24,-0.15,0.03,0.81,-0.71,-0.52,0.65,-0.35,0.18,-0.06,0.18,0.57,?,0.08,-0.35,0.18,?,0.08,-0.06,-0.71,0.25,-0.62,-0.11,0.02,0.1,-0.15,-0.02,0.04,0.3,-0.09,0.32,0.27,-0.55,0.23,14/4/3/3 %  ytyjl170c
0.2,0.42,0.41,0.68,-0.15,-0.65,0.42,-0.19,0.62,-0.05,0.7,-0.39,0.29,-0.6,0.33,0.38,0.46,-0.57,0.1,0.13,-0.6,-0.23,-0.11,-0.25,-0.82,-0.3,-0.46,-0.32,0,-0.44,0.27,0.48,0.45,0.56,0.45,0.59,0.32,-0.53,0.45,0.15,0.36,-0.95,0.99,-0.59,-0.15,-0.15,0.19,-0.48,-0.33,-0.54,-1.06,-0.78,-0.64,-0.32,0.15,0.69,0.8,0.52,0.73,0.29,?,0.22,0.56,-0.1,-0.56,-0.39,-0.64,-0.64,-0.41,-0.58,0.08,0.49,0.48,0.22,0.57,0.62,0.84,1/2/1/0@40/25/0/0@6/13/4/0 %  ytyjl172w
-0.38,-0.14,0.45,0.12,0.15,-0.21,-0.26,-0.12,0.03,-0.24,0.15,0.08,0.01,-0.16,0.04,-0.19,0.16,-0.27,0.51,-0.1,0.55,-0.12,-0.28,-0.05,0.28,0.28,0.43,0.41,0.17,0.23,0.04,?,-0.26,0.33,-0.31,0.06,-0.66,-0.07,-0.43,0.16,-0.15,0.2,-0.57,0.2,-0.07,0.06,-0.1,-0.28,0.48,-0.05,-0.05,-0.46,-0.54,0.14,-0.57,1.02,0.07,?,-0.64,0.82,0.12,0.14,-0.11,-0.69,-0.08,0.06,0.12,0.43,0.36,0.36,0.22,0,0,-0.01,-0.05,-0.42,-0.3,40/3/0/0@5/1/0/0 %  ytyjl177w
1.5,1.48,-0.92,-0.86,-0.89,-0.59,0.01,0.56,0.44,-0.06,-0.14,-0.19,-0.4,-0.68,0.28,0.65,0.63,0.26,0.34,0.2,?,-0.44,-0.74,0.72,1.08,0.01,0.06,-0.31,-0.44,-0.07,-0.24,0.11,0.22,0.35,0.52,0.48,0.26,-0.71,0.08,-0.16,-0.18,-0.28,-0.12,-0.35,-0.01,-0.26,-1.04,-0.28,1.22,1.05,0.56,0.05,-0.48,-0.74,-0.88,0.28,0.86,0.81,0.41,-0.05,?,-0.78,-0.99,-0.51,-0.4,-0.29,-0.12,0.15,0.47,0.48,0.35,-0.01,0.05,0.15,0.14,-0.31,-0.14,3/3/1/3 %  ytyjl187c
-0.03,-0.3,-0.42,0.15,-1.53,-0.12,0.55,?,-0.58,-0.22,0.16,-0.09,-0.16,1.02,0.88,0.46,0.1,-0.39,-0.37,-0.24,0.07,0.47,1.87,1.59,-1.05,-0.32,-0.92,-0.3,-0.7,0.31,0.41,1.26,0.47,0.38,-0.68,-0.72,-0.37,-0.18,-0.4,-0.18,-0.21,-0.09,-0.14,0.38,0.05,-0.47,-0.89,0.77,-0.25,-0.71,-0.33,0.05,-0.15,-0.42,0.68,0.88,-0.06,0.17,-0.15,0.07,?,-0.23,0.58,-0.73,-0.85,-0.23,-0.21,0.72,0.43,0.01,-0.17,-0.14,0.06,0.38,0.47,-0.16,0.44,3/1/3/0@3/3/1/0@30/2/0/0@40/10/0/0@40/3/0/0 %  ytyjl194w
-0.49,-0.17,-0.32,0.12,-1.42,-1.01,0.25,-0.3,0.2,-0.48,0.26,-0.37,0.09,0.12,0.64,0.52,0.91,0.07,0.39,-0.23,0.33,0.03,-0.12,0.19,-0.22,-0.15,-0.9,0.21,0.05,0.1,-0.06,0.2,-0.36,0.4,0.04,-0.06,0,-0.16,0.22,0.19,0.3,0.27,0.89,-0.16,-0.19,-0.69,0.05,0.05,0.86,0.46,-0.6,-0.62,-0.92,-0.86,-0.35,0.31,0.65,0.19,0.16,0.12,?,0.22,0.27,-1.46,-0.5,-0.58,-0.71,-0.22,-0.3,-0.04,0.54,0.54,0.19,0.19,0.69,0.77,0.89,1/6/1/0 %  ytyjl196c
-0.32,0.41,-0.43,0.33,0.1,-0.47,-0.22,-0.67,0.07,?,0.4,-0.09,0.1,0.15,0,0,0.2,-0.12,0.21,0.23,?,0.1,0.46,0.12,0.21,0.74,-0.15,0.73,-0.29,0.62,-0.66,0.3,-0.66,-0.21,-0.23,0.03,-0.45,0.16,1.12,-0.02,-0.48,0.08,-0.69,-0.19,-0.34,-0.19,-0.51,-0.07,0.1,0.09,0.42,0.1,0.12,0.24,0.01,-0.02,-0.59,-0.29,-0.15,?,0.29,0.16,0.09,-1.66,-0.27,-0.16,0.33,0.95,0.91,0.3,0.49,0.22,0.34,0.2,-0.39,-0.84,-0.43,2/10/0/0 %  ytyjl200c
0.16,0.34,-0.3,-0.03,-0.6,-0.53,0.38,0.37,0.34,0.2,0.35,-0.09,-0.21,-0.29,-0.13,0.02,0.26,-0.09,0.27,0.02,0.13,-0.38,-0.49,-0.06,0.45,0.57,0.19,0.34,-0.12,-0.26,-0.51,-0.03,-0.05,0.42,0.36,0.19,0.43,0.29,0.33,-0.13,-0.28,-0.53,0.06,-0.44,-0.38,-0.36,-0.61,-0.42,0.59,0.42,0.02,0.3,-0.08,0.27,-0.33,-0.2,0.55,-0.14,-0.06,0.68,?,-0.37,-0.62,-0.87,-0.47,-0.27,-0.17,0.09,0.31,0.43,0.19,0.31,0.07,0.33,0.28,-0.13,-0.08,30/1/0/0 %  ytyjl201w
0.3,-0.14,-0.25,-0.17,0.3,-0.15,0.23,?,0.29,0.09,0.29,-0.08,0.01,-0.15,-0.06,-0.01,-0.04,-0.58,-0.12,0.08,0.09,-0.19,-0.1,0.22,0.26,0.06,-0.38,0.17,-0.42,-0.04,-0.63,0.05,-0.4,-0.04,-0.27,0.15,-0.07,-0.02,-0.25,0.01,-0.18,0.25,0.27,0.53,0.24,0.58,-0.38,-0.28,-0.08,-0.06,0.09,0.43,0.28,0.66,0.08,-0.32,0.13,-0.09,-0.24,?,0.19,-0.18,-0.23,0.23,0.25,-0.22,0.14,0.08,0.19,0,-0.15,-0.02,-0.25,-0.06,0.04,-0.06,-0.15,4/5/5/1@40/10/0/0@6/10/0/0 %  ytyjl203w
-0.32,?,-0.12,0.14,0.14,0,0.14,0.11,0.22,0.14,0.2,0.16,-0.13,-0.14,-0.13,-0.3,-0.02,-0.3,0.07,-0.24,0.33,-0.26,0.08,-0.05,-0.12,-0.07,-0.5,0.05,0.36,-0.02,-0.23,0.14,-0.5,-0.12,-0.08,-0.02,0.06,0.03,0.12,0.24,0.03,-0.02,0.27,0.02,-0.03,0.33,0.89,0.19,0.4,-0.23,0.02,-0.05,-0.07,0.15,-0.03,-0.45,0.07,-0.54,-0.35,0.46,?,-0.19,-0.28,0.68,-0.09,-0.04,-0.13,-0.01,-0.2,0.12,0.06,0.03,-0.29,0.12,-0.04,-0.23,0.02,4/5/1/4 %  ytyjl206c
0.03,0.06,-0.09,-0.32,-0.18,-0.01,-0.12,0.35,0.06,0.38,-0.13,0.33,0,-0.17,0.07,-0.09,-0.12,-0.12,-0.03,0.13,-0.04,-0.32,0.42,0.3,0.19,0.06,-0.36,0.18,-0.5,0.11,-0.54,0.34,-0.19,0.06,-0.49,0.12,-0.15,0.22,0.14,0.19,-0.32,0.15,-0.25,0.26,0.08,-0.03,-0.21,-0.12,-0.21,-0.05,0.02,0.45,-0.1,0.39,0.12,0,0.2,-0.07,-0.27,?,0.06,-0.08,-0.13,0.16,-0.11,0.13,0.2,0.44,0.21,0.33,-0.22,-0.08,-0.16,-0.11,-0.35,-0.25,-0.18,4/5/5/0@40/16/0/0 %  ytyjl209w
0.26,-0.64,0.21,-0.12,0.01,0.03,-0.24,0.05,-0.17,0.14,0.07,-0.29,0.18,0.55,0.13,0.01,0.48,-0.34,-0.34,-0.07,-0.29,0.07,-0.54,-0.92,-0.45,-0.32,-0.04,-1.12,0.24,-0.29,0.11,0.14,0.3,0.03,0.59,0.58,0.84,-0.4,-0.01,-0.16,0.96,0.25,0.94,-0.37,-0.06,-0.32,-0.56,-1.1,-1.59,-0.04,0.34,0.13,-0.1,-0.41,0.52,0.19,0.27,0.7,0.61,0.64,0.39,?,?,-0.21,0.05,-0.13,-0.38,-0.11,-0.52,-0.03,0.31,0.17,0.2,-0.13,0.26,0.11,0.42,40/19/0/0@8/10/0/0 %  ytyjl210w
-0.54,-0.1,?,0.07,-0.01,-0.08,-0.83,-0.29,-0.02,0.37,0.42,?,0.14,0.38,0.1,-0.02,0.17,-0.05,-0.04,-0.04,-0.24,0.05,0.18,-0.49,0.17,-0.11,-0.39,-0.53,-0.46,-0.34,-0.33,0.06,0.22,0.67,0.66,0.5,0.39,-0.26,0.35,-0.13,0.23,-0.16,0.67,-0.13,-0.25,-0.49,-0.84,-0.09,-0.96,0.49,0.55,0.43,-0.1,-0.19,0.32,-0.4,0.01,0.32,0.51,-0.18,0.13,?,?,0.36,0.3,-0.12,-0.5,0.04,0.07,0.06,0.01,-0.23,0.09,0.44,-0.07,-0.33,-0.14,14/4/3/3@67/11/0/0 %  ytyjl212c
1.04,-0.84,0.03,-0.04,0.45,0.22,0.58,0.06,0.4,0.08,0.11,-0.4,-0.4,-0.13,0.24,0,0.12,-0.17,-0.05,-0.54,-0.2,-0.38,-0.52,0.56,-0.34,-0.59,0.38,-1.56,0.9,-0.5,2.12,0.05,0.91,-0.59,0.34,-0.6,-0.23,-0.53,0.01,-0.57,0.76,-0.09,0.6,-0.07,-0.28,-0.14,1.41,0.69,0.83,0.51,0.03,-0.02,-0.23,-0.19,-0.49,?,?,-0.7,-0.56,?,-0.11,-0.68,-0.49,0.39,0,-0.12,-0.16,0.11,-0.4,-0.23,0.02,0.06,-0.04,-0.06,0.08,0.17,0.17,1/5/7/0@40/2/0/0@67/7/0/0@8/19/0/0 %  ytyjl219w
0.6,0.96,0.1,-0.17,-0.17,-0.38,0.21,0.17,0.39,0.23,0.61,0.05,-0.12,-0.29,-0.24,-0.36,-0.09,-0.19,0.33,0.03,0.28,-0.46,-0.84,-0.89,-1.56,0.46,0.98,0.54,0.42,-0.23,0.09,-0.22,-0.12,0.14,0.48,0.24,0.78,0.28,0.84,0.18,0.5,-1.22,0.11,-0.56,-0.3,-0.1,-0.81,-0.51,-0.07,0.21,0.17,0.08,-0.09,-0.28,0.26,-0.09,0.23,0.41,0.32,0.3,?,0.12,-0.26,-0.28,-0.1,-0.2,-0.62,-0.16,0.11,0.34,0.29,0.25,0.22,-0.2,0.34,0.09,-0.07,67/99/0/0 %  ytyjr001w
-0.14,-0.51,-0.56,0.38,0.5,-0.23,0.36,-0.19,0.28,-0.06,0.15,-0.23,0.06,0.13,-0.17,-0.06,0.15,-0.27,-0.02,-0.06,-0.36,0,-1.28,-0.81,-1.54,-1.99,-2.45,-1.75,-1.28,-0.36,0.3,0.96,0.57,0.5,0.01,-0.36,-0.59,-1.06,-0.28,-0.13,1.04,0.7,2.13,2.31,2.6,2.76,-0.3,0.19,0.13,-0.18,-0.48,0.17,-0.6,0.17,-0.44,-0.24,0.33,-0.24,-0.05,?,0.38,0.14,1,0.34,0.15,-0.36,0.02,0.1,-0.18,0.04,0.23,0.1,0.25,0.23,0.02,-0.96,0.02,14/4/3/3@40/2/0/0 %  ytyjr004c
0.06,-0.2,-0.14,-0.14,0.02,-0.14,0.32,-0.11,0.42,0.11,0.22,-0.17,0.01,-0.09,0.26,-0.17,-0.12,-0.34,0.17,-0.16,0.05,-0.26,0.05,0,0.3,0.33,0.02,0.26,0.16,0.21,-0.18,0.11,-0.5,-0.27,-0.44,0,0.02,0.02,-0.1,0.09,-0.64,-0.16,-0.23,0.36,0.21,0.39,-0.14,-0.24,0.07,-0.22,0.19,0.03,-0.04,0.69,0.58,-1.86,-0.91,0.3,0.49,0.33,?,0.27,0.47,0.35,-0.18,-0.07,0.2,-0.05,-0.24,-0.11,-0.13,-0.03,-0.03,0.09,0.3,-0.01,-0.11,40/9/0/0@6/10/0/0@8/19/0/0 %  ytyjr005w
0.55,0.6,-0.86,-0.06,-0.48,-0.2,0.22,0.54,0.13,0.38,-0.2,-0.09,-0.34,0.14,0,0.29,0.44,-0.09,0,0.03,-0.41,-0.37,-0.22,0.2,0.54,-0.01,-0.35,-0.34,-0.52,-0.43,-1.04,0.35,0.14,0.63,0.12,0.23,0.48,-0.22,-0.37,-0.68,-0.15,0.64,0.34,0.39,0.09,0.19,-0.22,-0.28,0.9,0.53,0.24,0.29,0.15,-0.16,-0.02,-0.56,-1.42,0.54,0.35,0.14,?,-0.32,-0.17,-0.67,-0.26,0.14,-0.34,-0.01,0.49,0.05,0.24,0.01,0.1,0.1,0.21,-0.3,0.25,3/1/3/0@3/1/5/1@40/10/0/0 %  ytyjr006w
-0.49,-0.14,-0.25,0.14,0.01,0.25,0.03,0.09,0.11,0.39,0.11,0.01,0.26,-0.34,-0.04,-0.08,0.29,-0.32,-0.08,-0.04,-0.19,-0.47,-0.6,-0.36,-0.38,0.11,0.25,-0.01,0.11,-0.28,-0.04,0.03,0.15,0.24,0.37,0.28,0.94,-0.18,0.38,0.07,0.11,-0.25,0.29,-0.64,-0.45,-0.15,-0.31,-0.09,-0.11,-0.03,-0.19,-0.1,-0.09,-0.14,0.03,0.33,0.35,0.17,0.2,?,0.02,-0.11,0.06,0.31,0.26,0.04,0.01,-0.18,0.25,-0.32,0.06,-0.12,-0.2,0.09,0.01,-0.26,0.03,40/7/0/0@6/7/0/0 %  ytyjr010c-a
-0.2,2.06,-0.64,-0.51,0.05,-0.3,0.01,-0.34,-0.19,0.23,0.78,0.66,0.71,-0.45,0.32,-0.55,-0.4,-0.58,0.13,0.46,-0.24,-0.31,-0.53,-0.91,-0.17,0.75,1.55,0.14,-0.48,-0.66,-0.62,-0.48,-0.69,-0.05,0.4,0.43,0.55,0.09,0.29,0.03,-0.14,0.06,0.42,-0.13,0.07,0.07,-0.58,-1.66,-0.69,0.83,1.95,2.09,0.7,0.02,-0.61,-1.39,-0.42,-0.29,0.17,-0.1,?,-0.1,0.1,-0.48,0.75,0.61,-0.01,0.01,-0.09,-0.29,-0.16,0.08,-0.12,-0.12,-0.01,0.01,-0.16,1/1/1/0@1/2/1/0 %  ytyjr010w
