@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs numeric
@ATTRIBUTE a_fy4_a numeric
@ATTRIBUTE alpha_fy5_alpha numeric
@ATTRIBUTE gal_gal numeric
@ATTRIBUTE heat_heat numeric
@ATTRIBUTE rel_alpha_fy5_alpha numeric
@ATTRIBUTE rel_gal_gal numeric
@ATTRIBUTE rel_heat_heat numeric
@ATTRIBUTE avg_abund numeric
@ATTRIBUTE median_deviation_of_log_fc_gal numeric
@ATTRIBUTE sig_gal numeric
@ATTRIBUTE sig_and_fc_gal numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha numeric
@ATTRIBUTE sig_fy5_alpha numeric
@ATTRIBUTE sig_and_fc_fy5_alpha numeric
@ATTRIBUTE median_deviation_of_log_fc_heat numeric
@ATTRIBUTE sig_heat numeric
@ATTRIBUTE sig_and_fc_heat numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha numeric
@ATTRIBUTE thrshld_1=below_detection_gal numeric
@ATTRIBUTE thrshld_1=below_detection_heat numeric
@ATTRIBUTE thrshld_gal numeric
@ATTRIBUTE thrshld_fy5_alpha numeric
@ATTRIBUTE thrshld_heat numeric
@ATTRIBUTE below_threshold_in_all_conditions numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,6/10/0/0 %  ytydr162c
A,20,0.1,0.1,0.1,0.1,0,0,0,0.08,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/4/0/0@8/16/0/0 %  ytydr164c
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/3/1/0@6/1/0/0 %  ytydr168w
A,20,0.1,0,0.1,0.1,0,0,0,0.08,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,4/5/1/4 %  ytydr169c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/1/4/0@14/4/3/5@4/5/1/4@40/10/0/0 %  ytydr173c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.03,0,0,1,1,1,1,5,5,5,1,5/1/0/0 %  ytydr175c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/5/4/0@4/5/1/4@40/10/0/0 %  ytydr176w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/10/0/0 %  ytydr180w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,30/10/0/0 %  ytydr181c
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/3/0/0@40/8/0/0@8/7/0/0 %  ytydr189w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,14/4/3/3@4/5/1/4 %  ytydr191w
A,20,0.1,0.1,0.1,0.1,0,0,0,0.08,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,4/7/0/0@40/10/0/0@8/1/0/0 %  ytydr192c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/1/4/0@1/2/4/0@1/6/10/0@3/3/1/0@3/3/2/0@4/5/1/4@40/10/0/0 %  ytydr207c
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/3/0/0@5/4/0/0 %  ytydr211w
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/1/5/0@3/3/1/3@4/5/1/4@40/10/0/0 %  ytydr217c
A,20,0.1,0.1,0.1,0.1,0,0,0,0.08,0.09,0,0,0.27,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/16/0/0@5/1/0/0 %  ytydr237w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,4/5/5/1@40/10/0/0 %  ytydr240c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/19/0/0@40/3/0/0@6/4/0/0@8/10/0/0 %  ytydr244w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.04,0,0,1,1,1,1,5,5,5,1,40/8/0/0@8/7/0/0 %  ytydr246w
A,20,0.1,0,0.1,0.1,0,0,0,0.08,0.09,0,0,0.33,0,0,0.05,0,0,1,1,1,1,5,5,5,1,11/1/0/0@14/1/0/0@14/4/3/1 %  ytydr251w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/1/4/0@1/2/4/0@4/5/1/4 %  ytydr253c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/10/0/0 %  ytydr254w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,11/7/0/0@40/19/0/0 %  ytydr256c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,11/1/0/0 %  ytydr263c
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/5/4/0 %  ytydr277c
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/3/0/0@5/7/0/0 %  ytydr283c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/3/1/0@3/3/2/0@40/10/3/0 %  ytydr285w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,29/99/0/0 %  ytydr289c
A,52,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/3/99/0 %  ytydr305c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,14/4/3/3 %  ytydr312w
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/3/4/3 %  ytydr325w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/3/0/0 %  ytydr372c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/5/1/0@2/16/0/0 %  ytydr380w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/1/5/1 %  ytydr386w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/16/0/0@5/1/0/0 %  ytydr405w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.3,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/5/4/0@40/2/0/0 %  ytydr420w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,4/5/1/4 %  ytydr421w
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/5/4/0@4/5/1/1@40/10/0/0 %  ytydr443c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.32,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/6/4/0 %  ytydr444w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,30/1/0/0 %  ytydr446w
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,3/1/5/1@4/5/1/1@6/10/0/0 %  ytydr460w
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,4/1/4/0 %  ytydr478w
A,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,40/4/0/0@40/8/0/0@8/7/0/0 %  ytydr484w
A,20,0.1,0,0.1,0.1,0,0,0,0.08,0.1,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,14/4/3/1@3/3/1/0@3/3/3/0 %  ytydr507c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,13/1/1/1@5/99/0/0 %  ytydr515w
A,20,0.1,0.1,0.1,0.1,0,0,0,0.08,0.09,0,0,0.33,0,0,0.03,0,0,1,1,1,1,5,5,5,1,1/3/10/0 %  ytydr530c
A,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,1/5/7/0@40/2/0/0@67/7/0/0 %  ytydr536w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/1 %  ytyel019c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,2/13/0/0 %  ytyel053c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.03,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/2/4/0 %  ytyel062w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,67/99/0/0 %  ytyel064c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,11/7/0/0@67/28/0/0@67/4/1/1 %  ytyel065w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/4/0/0 %  ytyer007w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/5/0/0 %  ytyer018c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/5/0 %  ytyer032w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/10/0/0@6/13/0/0 %  ytyer047c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/5/4/0@2/19/0/0 %  ytyer054c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/5/1/0@2/1/0/0@2/22/0/0@40/3/0/0 %  ytyer065c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.05,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/3/7/0@3/1/3/0 %  ytyer070w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,14/4/3/3@3/3/1/0 %  ytyer075c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/10/0/0@8/1/0/0 %  ytyer105c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.03,0,0,0.05,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/10/0/0@40/3/0/0@6/4/0/0@8/1/0/0 %  ytyer110c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/3/1/0@4/5/1/4@40/10/0/0 %  ytyer111c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/99/0/0 %  ytyer116c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,6/13/1/0 %  ytyer144c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/16/0/0@5/7/0/0 %  ytyer153c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/1/4@40/10/3/0 %  ytyer161c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/1@40/10/0/0 %  ytyer162c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/3/6/0@40/10/0/0@40/16/0/0@40/3/0/0 %  ytyer168c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/1@4/5/1/1@40/10/0/0 %  ytyer171w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/0@3/3/1/3 %  ytyer173w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/3/2/0 %  ytyer180c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/5/7/0@40/2/0/0@67/7/0/0@8/19/0/0 %  ytyfl011w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/7/0/0@8/7/0/0 %  ytyfl025c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.03,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/3/1/0 %  ytyfl029c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/99/0/0@6/7/0/0 %  ytyfl033c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/3/0@4/5/1/1@40/16/0/0 %  ytyfl036w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/5/1/0@11/1/0/0 %  ytyfl053w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/2/1/0 %  ytyfl061w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/3/0/0 %  ytyfr013w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.07,0,0,0.08,0,0,0.18,0,0,1,1,1,1,5,5,5,1,10/1/99/0@14/1/0/0@40/3/0/0 %  ytyfr014c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/6/1/0@30/25/0/0@6/4/0/0@8/13/0/0 %  ytyfr019w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/3/0@3/3/1/0 %  ytyfr027w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/1/4 %  ytyfr029w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.04,0,0,0.13,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/99/0/0 %  ytygl014w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,30/10/0/0@40/10/0/0@6/4/0/0@8/1/0/0 %  ytygl016w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/0@4/5/1/4@40/10/0/0 %  ytygl025c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/0@4/5/1/1@40/10/0/0 %  ytygl043w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/3/0/0@5/4/0/0 %  ytygl049c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/3/10/0@4/3/6/0 %  ytygl063w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/5/1/0@6/7/0/0 %  ytygl065c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/3/1/3@40/10/0/0 %  ytygl086w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,14/4/3/5@3/1/5/1@3/3/2/0@40/10/0/0 %  ytygl090w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.06,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/3/3/0@4/7/0/0@40/10/0/0@8/1/0/0 %  ytygl092w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/5/0@5/4/0/0 %  ytygl094c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,14/1/3/99@14/4/3/1@30/25/0/0@40/22/0/0@40/25/0/0@6/4/0/0@8/13/0/0@8/7/0/0 %  ytygl095c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/6/4/0 %  ytygl144c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/1/4 %  ytygl150c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/3/1/0 %  ytygl158w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/1@3/3/2/0@40/10/0/0 %  ytygl163c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/1/4/0 %  ytygl171w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,14/4/3/5@40/3/0/0@6/13/4/0@8/13/0/0 %  ytygl180w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,14/4/3/5@4/5/1/4@40/10/0/0 %  ytygl192w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/3/0@40/10/0/0 %  ytygl201c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,2/13/0/0 %  ytygl226w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,40/2/0/0@40/3/0/0@8/16/0/0@8/7/0/0 %  ytygl233w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/1/4@40/10/0/0 %  ytygl237c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.04,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/3/6/0 %  ytygl243w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,3/1/5/0@3/3/2/0 %  ytygl249w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/99/0/0@40/10/0/0 %  ytygl251c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/2/4/0@11/7/0/0@4/5/1/4@40/10/0/0 %  ytygl254w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/5/1/0@6/7/0/0 %  ytygl257c
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/1/1@40/10/0/0 %  ytygr005c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/5/5/1@40/10/0/0 %  ytygr006w
B,20,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.07,0,0,0.18,0,0,1,1,1,1,5,5,5,1,1/1/1/0 %  ytygr012w
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,4/1/4/0@4/3/3/0@40/10/0/0 %  ytygr030c
B,21,0.1,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,1,5,5,5,1,13/11/3/7@14/4/3/3@40/10/0/0 %  ytygr040w
