@RELATION 'eisen0.names'

@ATTRIBUTE alpha_0 numeric
@ATTRIBUTE alpha_7 numeric
@ATTRIBUTE alpha_14 numeric
@ATTRIBUTE alpha_21 numeric
@ATTRIBUTE alpha_28 numeric
@ATTRIBUTE alpha_35 numeric
@ATTRIBUTE alpha_42 numeric
@ATTRIBUTE alpha_49 numeric
@ATTRIBUTE alpha_56 numeric
@ATTRIBUTE alpha_63 numeric
@ATTRIBUTE alpha_70 numeric
@ATTRIBUTE alpha_77 numeric
@ATTRIBUTE alpha_84 numeric
@ATTRIBUTE alpha_91 numeric
@ATTRIBUTE alpha_98 numeric
@ATTRIBUTE alpha_105 numeric
@ATTRIBUTE alpha_112 numeric
@ATTRIBUTE alpha_119 numeric
@ATTRIBUTE elu_0 numeric
@ATTRIBUTE elu_30 numeric
@ATTRIBUTE elu_60 numeric
@ATTRIBUTE elu_90 numeric
@ATTRIBUTE elu_120 numeric
@ATTRIBUTE elu_150 numeric
@ATTRIBUTE elu_180 numeric
@ATTRIBUTE elu_210 numeric
@ATTRIBUTE elu_240 numeric
@ATTRIBUTE elu_270 numeric
@ATTRIBUTE elu_300 numeric
@ATTRIBUTE elu_330 numeric
@ATTRIBUTE elu_360 numeric
@ATTRIBUTE elu_390 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE spo_0 numeric
@ATTRIBUTE spo_2 numeric
@ATTRIBUTE spo_5 numeric
@ATTRIBUTE spo_7 numeric
@ATTRIBUTE spo_9 numeric
@ATTRIBUTE spo_11 numeric
@ATTRIBUTE spo5_2 numeric
@ATTRIBUTE spo5_7 numeric
@ATTRIBUTE spo5_11 numeric
@ATTRIBUTE spo__early numeric
@ATTRIBUTE spo__mid numeric
@ATTRIBUTE heat_0 numeric
@ATTRIBUTE heat_10 numeric
@ATTRIBUTE heat_20 numeric
@ATTRIBUTE heat_40 numeric
@ATTRIBUTE heat_80 numeric
@ATTRIBUTE heat_160 numeric
@ATTRIBUTE dtt_15 numeric
@ATTRIBUTE dtt_30 numeric
@ATTRIBUTE dtt_60 numeric
@ATTRIBUTE dtt_120 numeric
@ATTRIBUTE cold_0 numeric
@ATTRIBUTE cold_20 numeric
@ATTRIBUTE cold_40 numeric
@ATTRIBUTE cold_160 numeric
@ATTRIBUTE diau_540 numeric
@ATTRIBUTE diau_660 numeric
@ATTRIBUTE diau_780 numeric
@ATTRIBUTE diau_900 numeric
@ATTRIBUTE diau_1020 numeric
@ATTRIBUTE diau_1140 numeric
@ATTRIBUTE diau_1260 numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
0.29,0.37,?,-0.12,-0.01,-0.23,-0.25,-0.34,-0.18,-0.36,-0.2,0.1,0.04,-0.45,-0.12,-0.15,-0.56,-0.18,-1.06,-0.45,-0.47,0.37,0.14,0.12,0.2,-0.1,-0.03,0.38,-0.25,-0.01,-0.15,0.06,0.11,0.39,0.06,-0.18,-0.18,0.01,0.06,-0.23,-0.67,-0.34,-0.4,?,-0.4,-0.62,-0.71,-0.17,-0.47,-0.56,-1.22,-0.89,-0.54,-0.27,-0.97,-0.29,-1.25,-1.84,-0.56,-1.29,-1.22,-0.36,-0.3,-0.22,-0.84,-0.76,-0.6,-0.89,0.44,-0.56,-0.76,0.01,0.25,0.01,0.11,-0.45,-0.69,-1.47,-1.94,40/10/0/0@8/1/0/0 %  ytymr308c
-0.04,-0.49,-1,-0.56,-0.09,-0.27,0.19,-0.04,0.2,-0.27,-0.14,-0.14,0.06,-0.04,-0.14,0.08,-0.09,-0.01,-0.97,-0.42,-0.14,0.25,0.36,0.16,0.07,-0.29,-0.27,?,-0.22,-0.54,-0.64,-0.51,0.5,0.33,0.06,-0.04,-0.09,-0.34,-0.32,-0.64,-0.23,-0.04,-0.15,0.04,-0.62,-0.79,-0.47,-0.09,-2,-1.03,-2,-0.54,-1.6,-0.86,-0.79,-0.2,-2.74,-1.64,0.03,-0.6,-0.74,-0.84,-0.25,0.26,0.12,-0.38,-0.67,-0.3,-0.03,0.55,-0.76,0.15,-0.1,?,0.01,-0.47,-0.64,-1.12,-1.06,4/3/3/0@40/3/0/0@5/4/0/0 %  ytynl062c
-0.1,-0.81,-0.94,-0.51,-0.36,-0.27,-0.23,-0.43,-0.2,-0.18,-0.43,-0.25,-0.3,-0.36,-0.42,-0.49,-0.27,-0.34,-1.51,-0.01,0.45,0.29,0.18,-0.03,-0.09,-0.1,-0.25,?,-0.43,-0.38,-0.76,0.04,0.67,0.63,0.16,0.42,0.11,0.23,0.15,-0.01,-0.49,-0.27,0.04,0.57,-0.47,-0.6,-0.49,-0.09,-0.29,-0.38,-1.06,-0.49,-1.36,-0.07,-0.81,-1.18,-0.84,-0.42,-0.34,-1.36,-0.86,-0.84,-0.34,-0.81,-0.69,-1,-1.18,-1.03,-0.34,0.51,-1.18,0.26,-0.06,-0.06,-0.3,-0.79,-0.94,-0.58,-1,1/3/4/0 %  ytynr012w
-0.51,-0.69,-0.74,-0.25,-0.58,-0.07,-0.27,-0.27,?,0.26,0.11,-0.1,-0.09,-0.23,-0.34,0.06,-0.56,-0.17,-0.54,-0.09,0.36,0.19,0.12,0.08,-0.14,0.14,-0.04,0.12,-0.07,-0.17,0.04,-0.06,0.57,0.55,0.25,-0.14,-0.25,-0.38,-0.22,-0.45,0.06,-0.34,-0.4,-0.01,-0.34,-0.58,-0.32,?,-0.58,-0.54,-1.22,-1.36,-0.94,?,-0.74,-0.84,-1.12,-0.6,-0.17,-1.32,-1,-0.36,-0.17,-0.81,-0.38,-0.12,-0.58,-0.74,-0.74,0.07,-0.92,-0.27,0.11,?,0.21,-0.69,-0.51,-0.36,-1.32,40/3/0/0@5/4/0/0 %  ytygr083c
-0.22,-0.36,-0.84,-0.43,?,-0.36,-0.23,-0.43,-0.04,0.01,-0.27,-0.42,-0.15,-0.69,-0.25,-0.42,-0.14,-0.29,-1,-0.34,-0.14,-0.01,0.26,0.2,-0.07,0.25,-0.2,0.16,0.12,-0.04,-0.15,0.01,0.23,0.72,0.57,0.23,0.24,0.37,0.32,0.25,0.15,0.18,0.44,-0.42,0.33,0.07,0.53,-0.36,-0.76,-1.09,-1.6,-0.92,-1.12,0.31,-0.54,-0.06,-1.84,-1.6,-0.56,-2.18,-1.6,-1.79,-1.43,-1.06,0.03,0.42,-0.56,-1.74,-1.18,-0.69,-1.15,-1.89,0.21,-0.1,0.11,-0.04,-0.36,-0.6,-1.64,4/1/1/0@4/3/1/0@4/5/1/1@40/10/0/0 %  ytypr187w
-0.07,-0.64,-0.34,-0.54,-0.2,-0.47,0.03,-0.42,0.06,-0.29,0.07,-0.43,-0.03,-0.58,0.16,-0.36,0.03,-0.3,-0.32,-0.4,-0.4,-0.09,0.07,0.24,-0.01,-0.18,-0.1,?,-0.2,-0.22,-0.45,-0.58,0.18,0.44,0.46,0.14,0.16,0.07,0.34,0.25,0.26,-0.09,0.11,0.21,0.4,0.19,0.3,-0.18,-0.23,-0.64,-1,-0.47,-0.32,0.55,-0.51,-0.09,-1,-1.22,-0.67,-2.25,-1.94,-1.94,-1.25,-1.12,0.23,0.52,-0.69,-0.69,-0.23,-0.69,-0.81,-1.36,0.23,0.14,0.06,-0.3,-0.03,-0.97,-1.51,14/4/3/5@40/3/0/0@5/4/0/0 %  ytyol139c
0.28,-0.43,-0.09,-0.25,-0.04,?,0.14,-0.15,0.07,-0.17,0.14,-0.09,-0.07,-0.22,0.37,0.18,0.04,-0.23,-0.58,-0.64,-0.45,-0.18,-0.15,-0.1,0.11,-0.2,-0.01,-0.03,-0.23,0.21,-0.32,-0.34,-0.34,-0.36,-0.18,?,0.01,-0.07,-0.1,-0.29,-0.23,-0.12,-0.25,0.11,-0.09,-0.36,-0.25,-0.23,?,-0.69,-0.58,-0.58,-0.79,-0.18,-0.15,-0.45,-0.62,-0.62,-0.62,-0.6,-1.64,-1.03,-0.47,-1.22,-0.54,-0.54,-0.23,-0.76,0.25,-0.32,-1.18,-1.15,0.11,0.12,-0.01,-0.1,-0.25,-1,-1.25,1/3/16/0@40/3/0/0@5/10/0/0 %  ytyil078w
-0.23,0.11,-0.27,0.12,-0.32,0.18,-0.36,0.2,0.3,0.53,0.42,-0.1,0.19,-0.06,0.39,0.36,0.36,0.28,-0.6,0.36,-0.03,0.39,0.74,0.76,0.75,0.55,0.37,0.49,0.64,0.04,-0.09,-0.03,-0.27,0.24,-0.01,0.1,-0.09,0.03,0.16,0.38,0.2,-0.2,-0.06,0.85,-0.38,0.18,-0.25,0.01,-0.22,-0.42,-0.62,0.3,-0.36,0.07,0.7,0.65,-0.07,-0.23,-0.2,-1.51,-2.47,-1.79,-1.12,-1.4,0.52,0.39,-0.34,-1.12,-0.34,-0.29,-1.15,-1.56,0.44,0.1,0.11,-0.36,-0.09,-1.32,-2,40/3/0/0@5/1/0/0 %  ytydr450w
-0.15,-0.69,-0.62,-0.6,-0.3,-0.71,-0.09,0.28,-0.15,-0.06,-0.29,0.21,-0.17,-0.2,0.03,0.38,0.01,0.1,-0.89,-0.06,0.06,0.37,0.71,0.41,0.16,0.8,0.46,0.38,0.1,0.14,0.12,0.07,-0.34,-0.12,0.06,0.07,0.08,0.08,0.01,0.08,0.36,-0.03,0.14,0.96,0.01,-0.17,0.1,-0.07,-0.36,-0.42,-0.76,-0.12,-0.22,?,-0.25,0.19,-0.38,-0.04,-0.67,-2.32,-2.4,-1.79,-1.22,-0.71,0.52,0.08,-0.71,-1.4,-0.84,-0.58,-1.74,-2.32,-0.03,-0.3,0.03,-0.27,-0.56,-2,-2.64,40/3/0/0@5/1/0/0 %  ytybr189w
-0.17,-0.42,-0.51,-0.36,-0.38,-0.69,-0.07,0.11,-0.23,-0.45,-0.2,0.31,-0.15,-0.25,-0.03,0.16,0.12,0.24,-1,0.16,-0.34,0.24,0.26,0.24,0.11,0.6,0.37,0.39,0.07,0.14,-0.03,0.21,-0.38,-0.15,0.08,0.25,0.2,0.21,0.21,0.31,0.23,0.15,0.18,1.01,0.03,-0.07,0.11,-0.43,-0.42,-0.43,-0.71,-0.1,-0.27,0.14,0.06,0.23,-0.09,-0.12,-0.29,-1.64,-2.64,-1.89,-1.18,-1.06,0.39,0.04,-0.67,-1.32,-0.67,-0.38,-2,-2.18,0.07,-0.25,0.06,-0.25,-0.56,-1.74,-2.64,40/3/0/0@5/1/0/0 %  ytybr191w
-0.23,-0.49,-0.76,-0.56,-0.34,-0.69,-0.18,0.19,-0.12,0.16,-0.25,0.36,0.06,-0.04,-0.09,0.5,-0.07,0.12,-1.43,-0.54,-0.18,0.07,0.42,0.24,0.54,0.41,0.51,0.44,-0.22,0.21,-0.03,0.31,-0.45,-0.2,0.15,0.18,0.23,0.23,0.16,0.24,0.08,?,0.23,0.69,-0.22,-0.29,-0.15,-0.14,-0.1,-0.29,-0.86,-0.07,-0.43,0.25,-0.09,0.34,?,-0.38,-0.18,-1.25,-2.18,-1.22,-0.76,-1.51,0.39,-0.3,-0.47,-1.36,-0.12,-0.42,-0.6,-2.12,0.12,0.2,0.53,-0.09,-0.3,-1.22,-1.56,40/3/0/0@5/1/0/0 %  ytybl087c
0.11,-0.3,-0.27,0.08,-0.14,-0.12,-0.27,0.01,0.34,-0.15,0.45,0.11,0.14,0.2,0.36,0.6,-0.29,0.12,-0.94,-0.15,0.37,0.29,0.23,0.43,0.58,0.7,0.76,0.8,0.15,0.5,0.32,0.14,-0.62,-0.4,-0.25,0.39,0.37,0.25,0.21,0.04,?,-0.03,-0.18,-0.06,-0.47,-0.62,-0.6,0.18,-1.32,-1.89,-2.12,-1.74,-0.64,0.52,-0.42,0.92,-2.06,-3.06,0.54,-0.62,-1.89,-0.86,-0.34,-0.27,-1.36,-1.15,-0.51,-0.74,0.5,-0.51,0.08,-0.18,0.12,0.1,0.21,0.08,-0.3,-0.89,-1.64,40/3/0/0@5/4/0/0 %  ytydr385w
0.01,-0.56,0.25,-0.17,-0.25,-0.43,0.26,0.31,0.24,0.72,0.01,0.44,0.16,0.19,0.2,0.7,0.07,0.48,-1.32,-0.09,-0.38,0.6,0.4,0.5,0.37,0.61,0.45,0.43,-0.06,0.11,0.56,0.24,-0.3,-0.15,-0.09,0.11,-0.18,-0.17,-0.15,-0.14,0.1,?,0.01,0.63,-0.4,-0.38,-0.34,0.23,-1.29,-1.56,-2.12,-1.09,-1.12,0.25,-0.64,0.59,-2.18,-3.06,0.12,-0.1,-0.67,-1.4,-0.64,-1.74,0.39,-0.4,-0.06,-1.15,0.1,-0.18,-1.15,-1.29,0.24,?,-0.04,-0.64,-0.94,-1.56,-2.32,40/3/0/0@5/4/2/0 %  ytyal003w
0.39,0.07,0.31,0.08,0.3,?,0.42,0.21,0.24,0.1,0.16,0.25,0.29,0.11,0.43,0.25,0.5,-0.06,-1.18,-0.49,-0.12,0.68,0.66,0.9,0.71,0.54,0.28,0.33,0.28,0.01,-0.29,-0.01,-0.51,-0.49,-0.32,-0.14,0.01,-0.2,-0.23,-0.3,-0.47,-0.29,-0.17,-1.25,-0.47,-0.71,-0.71,-0.27,-1.12,-0.84,-1.64,-1.51,-1.32,-0.29,-0.86,-0.23,-2.32,-2.18,?,-0.36,-1.89,-1.56,-0.56,-0.67,0.49,-1.79,-0.36,-1.03,-0.09,-0.45,-0.42,-0.64,0.08,-0.15,-0.01,-0.92,-0.71,-2.18,-2.47,40/3/0/0@5/4/0/0 %  ytykl081w
0.11,-0.4,-0.06,-0.06,0.12,-0.17,0.21,-0.03,0.11,0.28,0.03,0.14,-0.01,-0.04,0.11,0.11,0.19,?,-0.79,-0.6,-0.03,0.15,0.49,0.5,0.26,0.86,0.65,0.64,0.11,0.42,0.32,0.28,-0.6,-0.38,-0.27,-0.12,0.03,-0.09,-0.03,-0.18,-0.3,-0.23,-0.27,-0.69,-0.29,-0.49,-0.45,-0.36,-1.15,-1.06,-0.54,-0.89,-0.97,-0.36,0.03,-0.34,-2.12,-2.84,-0.15,-0.67,-1.74,-1.18,-0.45,-0.43,0.24,-1,-0.49,-0.79,0.3,-0.36,?,-0.47,0.12,0.4,0.43,-0.2,-0.43,-1.25,-1.6,5/10/0/0 %  ytyhr019c
0.39,-0.04,-0.25,0.12,-0.29,0.08,0.01,0.12,0.38,0.06,0.26,0.01,0.15,0.01,0.52,0.43,0.25,0.26,-0.12,0.39,0.9,1.08,0.96,0.96,1.08,0.85,0.67,0.48,0.51,0.49,0.24,0.29,-0.29,0.12,0.46,0.46,0.62,0.55,0.33,0.39,0.36,0.01,0.26,0.42,0.28,0.14,0.32,0.15,-0.84,-0.6,-0.86,-0.49,-0.23,-0.29,-0.03,0.74,-1.69,-1.89,-0.1,-1.12,-2.18,-2.06,-1.32,-0.86,0.24,0.14,-0.38,-0.97,0.03,-0.29,-0.43,-1.79,0.44,0.21,0.46,0.36,0.1,-1.29,-2.18,40/3/0/0@5/1/0/0 %  ytylr029c
-0.42,-0.38,-0.4,-0.27,-0.56,-0.22,-0.67,-0.43,0.08,0.14,-0.1,-0.32,-0.12,-0.29,0.03,0.04,-0.01,-0.17,-0.34,0.28,-0.3,0.34,0.25,0.34,0.38,0.64,0.34,0.39,0.07,-0.06,0.26,0.18,-0.01,0.25,0.14,0.25,0.04,-0.07,0.07,0.33,1.18,-0.43,0.21,0.79,-0.49,-0.4,-0.17,0.16,-1.03,-1.06,-1.18,-0.58,-0.23,-0.01,0.15,0.79,-1.94,-1.74,-0.18,-1.6,-1.69,-1.29,-0.94,-1.22,0.15,-0.1,-0.56,-0.94,-0.97,-0.38,-1.18,-2.32,0.19,0.06,0.37,-0.25,-0.27,-1.22,-1.84,40/3/0/0@5/1/0/0 %  ytydr500c
-0.06,-0.09,-0.17,0.01,-0.34,-0.04,-0.38,0.31,0.57,0.07,0.4,-0.12,0.12,0.06,0.42,0.51,0.2,0.06,-0.58,0.11,0.58,0.69,0.77,0.82,0.7,0.49,0.28,0.63,0.38,0.23,-0.09,0.08,-0.43,-0.07,0.15,-0.38,-1.18,-0.3,-0.12,1.34,?,-1.29,-1.32,0.65,-0.06,-0.3,-0.2,0.32,-1.6,-1.36,-1.84,-1.51,-0.79,0.28,-0.12,0.78,-2.47,-2.32,0.07,-1.15,-2.18,-1.51,-1,-0.51,0.38,-0.56,-0.43,-0.94,0.24,0.15,-0.89,-0.76,0.14,-0.12,-0.18,-0.79,-0.76,-0.86,-2.32,40/3/0/0@5/1/0/0 %  ytydr025w
0.06,-0.12,-0.06,-0.27,-0.15,?,-0.01,0.01,-0.18,-0.07,-0.45,-0.25,-0.2,-0.3,-0.17,-0.29,0.18,0.34,-0.04,-0.3,0.26,0.06,0.54,0.19,-0.43,-0.3,-0.54,-0.47,0.16,-0.62,-0.42,-0.56,0.1,0.12,0.46,0.33,0.46,0.39,0.36,0.24,0.38,0.03,0.38,-0.04,0.42,0.16,0.89,-0.58,-1.22,-1.22,-1.51,-1.06,-0.54,-0.45,-0.34,0.49,-1.74,-1.6,-0.51,-0.94,-1.32,-0.92,-0.94,-0.6,0.01,0.41,-0.76,-0.94,-0.62,-0.14,-0.84,-1.36,-0.17,-0.49,-0.22,-0.17,-0.38,-1.25,-1.89,40/3/0/0@5/1/0/0 %  ytyor182c
0.04,-0.23,-0.1,-0.12,?,-0.45,0.01,0.01,-0.15,-0.22,-0.01,-0.54,-0.12,-0.23,0.25,-0.27,0.37,-0.34,-0.58,-0.4,0.12,-0.01,0.41,0.2,0.31,-0.06,-0.1,-0.23,-0.03,-0.38,-0.36,-0.42,-0.22,0.11,0.31,0.31,0.53,0.54,0.44,0.28,0.41,0.06,0.4,0.14,0.29,0.29,0.51,-0.29,-1.29,-1.36,-1.4,-1.09,-0.74,0.18,-0.25,0.61,-0.56,-0.6,-0.09,-1.47,-2.18,-1.84,-0.92,-0.45,0.11,0.25,-0.74,-1.03,-0.23,-0.29,-0.81,-1.79,0.06,-0.17,-0.23,-0.49,-0.3,-1.79,-2.06,40/3/0/0@5/1/0/0 %  ytydr447c
-0.27,-0.01,-0.38,-0.17,-0.56,-0.06,-0.4,-0.32,-0.12,0.16,-0.34,-0.2,-0.03,-0.47,0.04,0.04,0.03,0.03,-0.32,0.46,0.36,0.45,0.28,0.58,0.32,0.33,0.07,0.16,0.26,-0.18,-0.38,-0.07,-0.29,-0.18,-0.03,0.2,0.21,0.21,0.01,0.19,0.11,-0.22,0.2,0.33,-0.14,-0.25,0.03,-0.18,-0.97,-1.4,-1.22,-1.03,-0.79,0.24,-0.27,0.66,-1.32,-1.56,-0.15,-1.25,-1.25,-1.51,-1.15,-0.94,-0.23,0.25,-0.67,-1.03,-0.32,-0.17,-1.09,-1.51,-0.12,-0.22,-0.42,-0.51,-0.4,-1.15,-2,40/3/0/0@5/1/0/0@6/13/1/0 %  ytyil148w
0.07,?,0.14,0.3,0.11,0.15,-0.06,0.11,0.68,0.03,0.72,0.12,?,0.26,0.59,0.63,0.39,0.34,-0.92,0.16,0.7,0.34,0.26,0.7,0.85,0.58,0.24,0.62,0.54,0.36,-0.22,-0.01,-0.34,-0.15,0.15,0.45,0.64,0.64,0.54,0.84,0.26,0.39,0.6,0.48,0.11,-0.14,0.63,0.11,-1.03,-1.12,-1.18,-0.94,-0.29,0.58,-0.22,0.93,-1.94,-2.25,0.25,-0.81,-2.18,-1.4,-0.86,-1.4,0.65,-0.07,-0.34,-1.25,0.3,-0.09,-0.38,-1.32,0.21,0.01,0.25,-0.09,-0.17,-0.89,-1.79,40/3/0/0@5/1/0/0 %  ytydl061c
0.19,-0.23,0.04,-0.03,0.19,-0.17,-0.09,0.04,0.54,0.01,0.89,-0.18,0.24,0.07,0.73,0.48,0.12,-0.42,0.01,-0.38,0.06,0.72,0.45,0.45,0.52,0.56,0.25,0.1,-0.06,0.21,-0.2,0.01,-0.18,0.12,0.39,0.45,0.56,0.55,0.48,0.46,0.49,0.26,0.46,0.5,0.51,0.3,0.58,-0.03,-1.18,-1.22,-1.4,-1.09,-0.45,0.2,-0.15,1.19,-1.89,-2.18,-0.29,-1.12,-1.79,-2.12,-1.43,-1.56,0.82,0.39,-0.4,-1.22,-0.2,-0.49,-1.09,-2.06,0.12,0.03,0.26,0.21,0.08,-0.56,-1.6,40/3/0/0@5/1/0/0@6/13/1/0 %  ytylr167w
0.31,-0.07,-0.17,-0.04,-0.17,-0.01,0.03,0.12,0.21,-0.17,0.25,-0.2,0.2,-0.22,0.4,0.01,-0.1,-0.01,0.08,-0.07,0.28,0.18,0.62,0.6,0.57,0.7,0.25,0.2,0.16,-0.1,-0.23,-0.18,0.56,0.3,-0.07,-0.3,-0.4,-0.18,-0.2,-0.03,-0.29,-0.32,-0.38,-0.45,-0.47,-0.62,-0.32,-0.3,-1.25,-1.51,-1.79,-0.54,?,0.06,-0.47,1.44,-2.84,-3.47,-0.04,-0.86,-2.32,-1.84,-1,-1.09,0.43,0.25,-0.67,-1.32,0.12,-0.12,-0.38,-1.79,0.1,0.07,0.24,0.15,-0.1,-0.64,-2.06,40/3/0/0@5/1/0/0 %  ytyor369c
?,-0.27,-0.22,-0.22,-0.18,-0.2,-0.06,-0.1,-0.15,-0.23,-0.38,-0.32,0.12,-0.34,-0.03,-0.36,0.4,-0.25,-0.43,-0.29,-0.03,0.21,0.4,0.39,-0.22,0.11,-0.23,-0.14,0.25,-0.43,-0.79,-0.36,-1.06,-0.38,-0.25,0.04,0.3,0.11,0.11,0.19,-0.12,-0.27,0.11,-0.54,-0.3,-0.4,-0.18,-0.6,-1.47,-1.84,-2.12,-1.25,-0.79,-0.09,-0.4,1.06,-2.06,-2.84,-0.38,-1,-1.74,-1.64,-0.89,-1.22,-0.1,-0.3,-1.09,-0.92,-0.09,-0.03,-0.56,-0.97,-0.09,-0.15,0.04,-0.43,-0.34,-1.43,-2.06,40/3/0/0@5/1/0/0 %  ytygl030w
0.28,-0.29,-0.15,-0.3,-0.27,-0.3,0.04,-0.09,?,-0.09,-0.14,-0.14,0.2,-0.14,0.14,-0.07,-0.45,0.04,-0.49,-0.09,0.16,0.46,0.51,0.4,0.49,0.25,0.25,0.41,0.34,0.03,-0.1,-0.04,-0.51,-0.34,-0.15,0.06,0.18,0.15,0.18,0.08,-0.06,-0.25,0.04,-0.97,-0.22,-0.42,-0.18,0.08,-2.18,-2.47,-2.56,-1.84,-0.97,0.45,-0.42,1.53,-2.74,-2.12,-0.3,-1.69,-2.25,-1.74,-0.97,-0.69,0.31,-0.22,-0.69,-1.25,-0.09,-0.27,-0.38,-1.43,0.07,-0.42,-0.03,-0.79,-0.84,-1.69,-2.84,40/3/0/0@5/1/0/0 %  ytygl076c
